Address,Minted,Cost Per Slothty,Total Cost,IDs
0x4298E51F6ed2CefbDBE47ac8Cba631186c9E8C5b,9,249,2241,"[6250, 8827, 7381, 5357, 8540, 611, 1887, 6518, 6067]"
0x9E92053b61A205B79a3B7601675Ef7aFD4bc040B,9,249,2241,"[5641, 6095, 6236, 2589, 1573, 6202, 7077, 8606, 1560]"
0xd28D7b85FeB68E6177fE8F08B104372C06e07dd9,9,249,2241,"[7748, 7197, 6540, 8127, 7236, 7909, 5630, 6919, 7018]"
0x4D1C5c582775633bc185368ED8d77779b9a3957C,7,299,2093,"[6915, 8822, 5123, 4576, 7890, 3523, 1130]"
0xf58bF7C59acAf88C271261a2d8249411D9cC8B5d,7,299,2093,"[8140, 2490, 6841, 8795, 3034, 2039, 3214]"
0x92AAea0Fcd13fa326deafa461698E46196599013,8,249,1992,"[598, 5294, 2572, 8587, 8085, 2156, 6446, 8415]"
0xB3FF2FC88F842F902BE8c13b6fB62CFf648cEd06,8,249,1992,"[8669, 5504, 2616, 4756, 1614, 727, 677, 2140]"
0x66D1cBE684cd12943546d7e9c2d969a375321719,8,249,1992,"[8446, 8517, 7953, 8730, 8419, 8207, 4269, 6798]"
0x86d71B18817b466D2f08BeE4c5352B724bbe9E2a,8,249,1992,"[1604, 884, 3698, 7724, 7265, 707, 3638, 6445]"
0xF08d3B21dD7ee482F940eF58E736F38C53660219,8,249,1992,"[7605, 751, 942, 7580, 1121, 952, 3124, 1155]"
0x1c1021e62B083862D6A80b653d5d04E810A834bA,8,249,1992,"[1537, 7660, 2653, 5437, 372, 5713, 7501, 6188]"
0x3775bEF51980658c0B2d01F1069cd434F99DaE67,8,249,1992,"[6803, 1327, 3746, 7881, 8563, 7229, 2100, 1448]"
0x34b009009373FfF06495bDd96969c838baa0a709,6,299,1794,"[2515, 2247, 8475, 3349, 1592, 5178]"
0x4B74359a38a19F26C1C49974e8a3B8e935B02ad2,6,299,1794,"[4654, 201, 4821, 5024, 7189, 7941]"
0x95D38B7fA4E7073df3c7ca14fC8F936E233aa451,7,249,1743,"[1470, 6166, 4664, 4920, 5621, 4993, 7147]"
0x92Ab472D2ec26f229a3959e945fF1A53d8b1F925,7,249,1743,"[8002, 5279, 3473, 7927, 7043, 144, 7087]"
0xCA6f86D6406784d10302fd35129a10A727E725fc,7,249,1743,"[4033, 3903, 3907, 2966, 572, 2103, 4584]"
0x3A120D450405AA9B58a9deC4a899135e03af14aA,7,249,1743,"[7382, 2428, 3941, 114, 1496, 2108, 1341]"
0x5fD2eE03d96f53DB1d563630749a4730df5E343a,7,249,1743,"[8856, 875, 592, 6143, 6332, 4053, 4041]"
0x22FEa1190f6c13B1581D3e0e90eB44C2485648C9,7,249,1743,"[6340, 7348, 439, 6596, 4155, 5132, 2388]"
0x53fce255409a818E009F94C76aBBb7746888B7ab,5,299,1495,"[6537, 2630, 2010, 8656, 7594]"
0xd6B44C6B2219a6b9936E81888E4aC969B1943E26,5,299,1495,"[377, 7358, 987, 4072, 4807]"
0xCA722f2adAC622C90c193E0f7dff7DF638BaaC8f,5,299,1495,"[1864, 237, 7185, 6338, 448]"
0x116E14bE95BD6127F773d86CFC2045cE1722d59A,5,299,1495,"[7034, 1053, 8849, 8473, 5924]"
0xe1AD1F0f19399Ee712b4bBC024581e0455Add79a,5,299,1495,"[6779, 6663, 2708, 8206, 4518]"
0xbc7B19E4e69DB306a98e4fc2D6271266aAb7e213,6,249,1494,"[8410, 6886, 6291, 308, 1011, 1445]"
0x737C89186A7eC33696289f1E00A2d1405AB2d41f,6,249,1494,"[5766, 2322, 4672, 2209, 4330, 8042]"
0x38EBC10b3BfA0Ff6B3a8e3629dAFAEcD7C5652F7,6,249,1494,"[3386, 126, 6491, 6237, 1569, 3255]"
0xC31721b94f43c125E22de535b79D7B7b45c52908,6,249,1494,"[4288, 3616, 8680, 6085, 7812, 480]"
0x98523f748F968b55C9A8d2ecF535B5f455285042,6,249,1494,"[1751, 2410, 7716, 248, 2192, 7192]"
0xcBB9205492416995DC11A1ac5895B3F022db7859,6,249,1494,"[5506, 4943, 8366, 6478, 4836, 6261]"
0x070182a365c90710865ac4968bA28A420EFB198F,6,249,1494,"[364, 313, 8064, 1641, 3267, 6956]"
0x2414cb866C10e8e5f52bc85Dc037a8595e0F7837,6,249,1494,"[235, 4964, 515, 7499, 2450, 874]"
0xaB88533C1D07c777057ea130c9A167d674Db92FC,6,249,1494,"[2831, 4661, 8735, 3702, 8178, 3167]"
0x3b8a4A55Ad08fD85156C0a99874Ec383816dd3e5,6,249,1494,"[8572, 4297, 7693, 5454, 4845, 2094]"
0x24E81C518BECeD20E155E65fe2dFF5C73Ee3d570,6,249,1494,"[7977, 8582, 3757, 4591, 5813, 4881]"
0x5cD61C26531E3d21f0aD960080AFea63B3AF0677,6,249,1494,"[596, 1564, 1683, 6874, 798, 6905]"
0x1521277A7d5b630Eb32e7809D03d54eE09EF1637,6,249,1494,"[8065, 5509, 8151, 4397, 4328, 3467]"
0x22136e7A889F17b9965F5Caa0247C600889638B5,6,249,1494,"[8408, 4097, 3814, 1567, 485, 6879]"
0xD5CD731D196226cD4F80fa91daB28F5D53Ab8264,6,249,1494,"[3354, 4819, 684, 5147, 8613, 7585]"
0x103bA39D0552a691a493992B06D5794b13b9684c,6,249,1494,"[5644, 4715, 2936, 2597, 1466, 5664]"
0x4dc53d7822b52380E04340861f0aC3F6C5955148,6,249,1494,"[7542, 284, 5375, 3836, 6500, 7502]"
0x4fC73842B0509CE42d12cd0EDe8fF70C8E8a0954,6,249,1494,"[6732, 1654, 343, 5264, 4246, 5754]"
0xF6E09c13D7040A11A31Ab08e394402Fdb9BDC336,6,249,1494,"[2552, 8518, 5799, 7560, 300, 4788]"
0x08E727aAE1bB1fC04d6AFAEf1B6b983A0c57B0Cd,6,249,1494,"[2945, 1600, 5570, 7024, 3362, 1888]"
0xB9379cb5B557b266E02c1f1d900a11716d2A9264,6,249,1494,"[927, 3172, 6209, 3171, 3177, 2497]"
0xDBD5805c229338D98026ec03D1D8863f23D5527D,6,249,1494,"[4274, 8722, 4069, 1380, 5168, 5612]"
0x731a72b732FEa4B5e7e48116b90E40F5f0305839,6,249,1494,"[5199, 5121, 3388, 3472, 3419, 6224]"
0x1481ca9614e0439b135d1415Fa3708351193D486,6,249,1494,"[3602, 1204, 540, 5733, 3427, 2419]"
0xEdaEf481C789138256947227346C9E73f726649e,6,249,1494,"[192, 3861, 8177, 5144, 4108, 8818]"
0x4b0f6999837f26776cA50492a64e72eF5068B9Cf,6,249,1494,"[4092, 6368, 4434, 3848, 682, 3686]"
0x270Af9dfbeC2D7085bE33925ea04536a90a00A86,6,249,1494,"[5716, 1179, 3469, 2151, 4236, 547]"
0xd77df0b7b7d7b45693c21AAc464AF2BA10433171,10,249,2490,"[635, 182, 444, 5987, 7922, 8241, 2885, 3481, 156, 8273]"
0xFaFc672CF53EB51924D0Aed069Dc53C33b0DCE2F,6,249,1494,"[2458, 5618, 6406, 636, 7407, 6756]"
0x232B41CC1389063BcD05Dbce2ab9a9571f423002,5,249,1245,"[3306, 904, 1854, 4450]"
0x5C3940Cecc5De58F0819F4ee8390801EE845f8c0,5,249,1245,"[1162, 6311, 2846, 7789, 5462]"
0x30E89A994077f7527f5951A9Fbc45bE31418ccfb,5,249,1245,"[533, 2623, 7032, 2803, 4514]"
0xFc559845Fb191beA6C7204945CfA16FDF83e7381,5,249,1245,"[4494, 7271, 2465, 8007, 3040]"
0x988867a5Ccad02119Ae8DB9850BD1380aC876C33,5,249,1245,"[5996, 2778, 7900, 2118, 175]"
0x90AD6932b3e7772aE791Bd1D8bd2B8D94885F4de,5,249,1245,"[423, 7613, 4043, 3187, 8776]"
0xFf1b10DAF7c7d02620Ad398B33f5563d2A43C6Ea,5,249,1245,"[2905, 1237, 5746, 3598, 3144]"
0x8eC697e72b245c7Ef73C22E2506a314C665B23C7,5,249,1245,"[8645, 5367, 1607, 6215, 3272]"
0x0239651e79826399E1e189730a6C7e0C264e23Cc,5,249,1245,"[2501, 4454, 7345, 8501]"
0x2492E4F6fcC44b07A86038Cf695c47d86D1eE5B8,5,249,1245,"[3342, 5159, 2865, 4122, 2023]"
0x81e58eb3903812ec3C512B7d90A7f58D8351948b,5,249,1245,"[7989, 4339, 6180, 4376, 2768]"
0xd70267bd4e5d2b1af9AF90f9b1a6dA3a11FcEDb8,5,249,1245,"[4182, 7386, 8231, 7150, 8807]"
0x5c7d91De3bf6EF7436892eCD4738b9ECA8C3DA90,5,249,1245,"[633, 5201, 6653, 3076, 6367]"
0x664c08A63C674E8cD53f8Bc5d572dFa85FC14546,5,249,1245,"[5449, 2096, 6064, 6228, 5051]"
0x1b2B70626c0Efd3fE992F043C36fF24Da62040e7,5,249,1245,"[1253, 8299, 1905, 508, 6594]"
0xCD26D716332B70542da52119E26020af2f30c071,5,249,1245,"[2889, 1434, 5240, 3807, 5802]"
0xF702fb1a1DdB2E30e8387c2F631a5350aA65Ef46,5,249,1245,"[8663, 2963, 1444, 4457, 296]"
0x2D13a7b057Ac5b47cb8E525774Af1511f41c2b25,5,249,1245,"[793, 1906, 8097, 7188, 4261]"
0x454cfAa623A629CC0b4017aEb85d54C42e91479d,5,249,1245,"[5006, 6671, 3400, 1208, 5066]"
0xBBF7e532E86930B210dcECE2f6FeBa7449015F08,5,249,1245,"[565, 709, 6558, 4065, 6863]"
0x399bfe6177BC8356741D4661F62f6234A17FaAaF,5,249,1245,"[5266, 2542, 3341, 729, 4726]"
0x8c10db1056f10a415B61BE54509e08e361c321eC,5,249,1245,"[1188, 8706, 292, 4067, 8193]"
0x6334Aa13356B1958031DE4f185f41c3f5FC9Cc1e,5,249,1245,"[7734, 6419, 4204, 8185, 7211]"
0x5A58DD770cEEb1f858dC0aBdd5db025a6163356A,5,249,1245,"[6975, 8447, 5602, 5843, 4350]"
0xa753b60DEE312fA8Dc6619062E86Bc729B720f17,5,249,1245,"[8490, 8458, 4188, 2366, 4115]"
0x64977Acf5DeC2754D59f7fa7AE96cE564d969B85,5,249,1245,"[1779, 4653, 7996, 8521, 7061]"
0x74A45997d907dF216FD4CB10568371F84704AbD5,5,249,1245,"[5538, 1277, 2805, 7152, 1066]"
0x46DfB82D47d2761D4f67Fc12B4D5ae6D3Ab0D0c7,5,249,1245,"[5341, 3217, 2992, 4733, 989]"
0xDb9f304D0A01AbC2ED1053554eDc306f150f3e34,5,249,1245,"[261, 7336, 4641, 6814, 5434]"
0x08Ce11EB69C94A76C1f695cA024aF5ab88Bb464a,5,249,1245,"[3367, 170, 4851, 1212, 4278]"
0x20AA3c47f43016BA32f089408a7DFf4C417D7Dce,5,249,1245,"[5942, 888, 4156, 8622, 8609]"
0xE5081447AbdF4db3Ff0Dd23dEE09fF94D9907FC4,5,249,1245,"[6854, 8227, 609, 1713, 7164]"
0xd56535515259e9E138BF3C1e6ef808b3564CD0B1,5,249,1245,"[6280, 5302, 5152, 5058, 6896]"
0x410fC00eB409b81e97C00819ef03c73e6797a9E5,5,249,1245,"[7665, 4000, 7194, 6849, 5409]"
0x2b1e04fB345E6069e3a670E0E8BB581676881321,4,299,1196,"[2061, 4466, 4805, 6635]"
0x1cc50A8600c7e39A3563B4e4eFec3ab8160bF816,4,299,1196,"[5474, 4648, 1597, 8707]"
0x94c5b8856F044df36c9c0b9Af63926f9e2435B81,4,299,1196,"[7984, 4181, 8013, 3618]"
0x932B6a7154F7F55466cd2d750242D07773CE0568,4,299,1196,"[5696, 3812, 3429, 5969]"
0x380983AeFC028fC268c0A66628e4D19cEffA2598,4,299,1196,"[4501, 807, 8705, 5982]"
0x4b0D3e1e04b49FE80c94980B95d8ce9D26A0D447,4,299,1196,"[5871, 276, 8792, 5089]"
0x7BE3022B9B7e3Ac00dEe5a785D5cb318BcdE03F8,4,299,1196,"[3026, 5921, 443, 3355]"
0xDD09ae3f211276D6064B2E232450019A19e7f745,4,286.5,1146,"[5572, 4492, 8734, 1088]"
0x1f755B0DA055F3D4A76f82A17A3A08E522f6af48,4,261.5,1046,"[7532, 5382, 8210, 6086]"
0x7faA60c0E9129D9c831Ef1090375d1294ccc741B,4,249,996,"[5487, 747, 8522, 6587]"
0xca9D821C354A5e815c8eEcD2339a6C1AeAA0ABcF,4,249,996,"[6673, 7675, 5804, 6292]"
0xEe25EDAa1E22Dd1F8D2f557a8fE07f9368a4C0dF,4,249,996,"[6787, 1102, 3497, 8304]"
0x612558F2078602C2404B8eC18A1847C5941fD20B,4,249,996,"[5032, 4184, 7482, 7252]"
0x0bae34fC7d5aaae1a7E68c172a007A020EFDE97e,4,249,996,"[6636, 5370, 3920, 7213]"
0xc6C2c289Ea8758FA9Ec44889a2C7E417600bbc5b,4,249,996,"[3030, 1526, 539, 7554]"
0x0909c42a6c7f1370F880eA5e30A2b98a507A3833,4,249,996,"[5810, 6559, 2033, 1819]"
0xf7Ce90c69eff6dF6A51751e0d74015f03E9193B2,4,249,996,"[994, 4898, 1669, 3917]"
0x8fFeeCF0903D9b35188b90aA668edA1dF1Fcf9E0,4,249,996,"[1957, 7931, 7191, 7053]"
0x802ebA580798dd6eCdCF06d154bd35a020a5E1e6,4,249,996,"[2162, 2819, 3206, 1045]"
0x5eDc71EbffAb1A6fe44D4e834fDb854A9673D626,4,249,996,"[6328, 7293, 5825, 5015]"
0x3d45f430818dc3cA130f51E2fDb9d1D3F636FB3C,4,249,996,"[7658, 4622, 1148, 4755]"
0xAF00BafD8239079CB339A126620308EC68D18910,4,249,996,"[8641, 1952, 6974, 7735]"
